Pos.,Team,Ht.,Wt.,Last Name,First Name,ID,Abbreviation,Conference,Division
WR,Broncos,6-5,210,Taylor,Jordan,10.0,DEN,AFC,West
WR,Dolphins,6-2,204,Scott,Rashawn,17.0,MIA,AFC,East
WR,Buccaneers,6-1,188,Walker,Derel,30.0,TB,NFC,South
WR,Jaguars,6-3,201,Hurns,Allen,15.0,JAX,AFC,South
WR,Chargers,5-10,187,Burse,Isaiah,26.0,LAC,AFC,West
WR,Lions,6-1,195,Abbrederis,Jared,11.0,DET,NFC,North
WR,Raiders,6-2,195,Roberts,Seth,23.0,LV,AFC,West
WR,Saints,6-2,200,Fuller,Corey,20.0,NO,NFC,South
WR,Steelers,6-4,203,Hunter,Justin,25.0,PIT,AFC,North
WR,49ers,5-9,179,Goodwin,Marquise,27.0,SF,NFC,West
WR,Bears,5-11,189,Wheaton,Markus,6.0,CHI,NFC,North
WR,Giants,6-1,200,King,Tavarres,21.0,NYG,NFC,East
WR,Panthers,6-5,245,Benjamin,Kelvin,5.0,CAR,NFC,South
WR,Cowboys,5-10,179,McDuffie,Quincy,9.0,DAL,NFC,East
WR,Commanders,6-0,204,Grant,Ryan,,,,
WR,Falcons,5-10,184,Williams,Nick,2.0,ATL,NFC,South
WR,Broncos,6-5,214,Brown,Marlon,10.0,DEN,AFC,West
WR,Vikings,6-3,210,Fruechte,Isaac,18.0,MIN,NFC,North
WR,Cowboys,5-11,194,Nwachukwu,Uzoma,9.0,DAL,NFC,East
WR,Bills,6-2,213,Butler,Jeremy,4.0,BUF,AFC,East
WR,Falcons,5-8,167,Gabriel,Taylor,2.0,ATL,NFC,South
WR,Lions,6-1,204,Spadola,Ryan,11.0,DET,NFC,North
WR,Packers,5-10,192,Cobb,Randall,12.0,GB,NFC,North
WR,Panthers,6-1,195,Shepard,Russell,5.0,CAR,NFC,South
WR,Giants,6-0,190,Rudolph,Travis,21.0,NYG,NFC,East
WR,Vikings,6-2,200,Thielen,Adam,18.0,MIN,NFC,North
WR,Bears,6-2,208,Randle,Rueben,6.0,CHI,NFC,North
WR,Browns,5-11,205,Boyce,Josh,8.0,CLE,AFC,North
WR,Texans,5-10,185,Williams,Wendall,13.0,HOU,AFC,South
WR,Packers,6-3,219,Janis,Jeff,12.0,GB,NFC,North
WR,Steelers,6-2,201,Hamilton,Cobi,25.0,PIT,AFC,North
WR,Jets,6'3,200,Street,Devin,22.0,NYJ,AFC,East
WR,Raiders,6-2,220,Patterson,Cordarrelle,23.0,LV,AFC,West
WR,Dolphins,6-6,215,Mathews,Mitch,17.0,MIA,AFC,East
WR,Bills,6-0,180,Ross,Rashad,4.0,BUF,AFC,East
WR,Panthers,6-3,210,Bersin,Brenton,5.0,CAR,NFC,South
WR,Lions,6-2,198,Jones,"Jr., Marvin",11.0,DET,NFC,North
WR,Rams,5-8,179,Austin,Tavon,29.0,LAR,NFC,West
WR,Commanders,6-4,228,Pryor,"Sr., Terrelle",,,,
WR,Falcons,6-2,210,Sanu,Mohamed,2.0,ATL,NFC,South
WR,Cardinals,5-11,179,Brown,John,1.0,ARI,NFC,West
WR,Chargers,5-10,175,Benjamin,Travis,26.0,LAC,AFC,West
WR,Ravens,6-5,228,Matthews,Chris,3.0,BAL,AFC,North
WR,Bears,5-10,191,Wright,Kendall,6.0,CHI,NFC,North
WR,Cardinals,6-2,205,Brown,Jaron,1.0,ARI,NFC,West
WR,Colts,5-9,180,Hilton,T.Y.,14.0,IND,AFC,South
WR,Jets,6-1,184,Hammond,Frankie,22.0,NYJ,AFC,East
WR,Seahawks,6-1,209,Kearse,Jermaine,28.0,SEA,NFC,West
WR,Jets,6-0,195,White,Myles,22.0,NYJ,AFC,East
WR,Lions,5-11,195,Martin,Keshawn,11.0,DET,NFC,North
WR,Vikings,5-10,191,Wright,Jarius,18.0,MIN,NFC,North
WR,Eagles,6-3,218,Jeffery,Alshon,24.0,PHI,NFC,East
WR,Seahawks,6-5,225,Smith,Rodney,28.0,SEA,NFC,West
WR,Vikings,6-2,220,Floyd,Michael,18.0,MIN,NFC,North
WR,Titans,6-0,217,Matthews,Rishard,31.0,TEN,AFC,South
WR,Cowboys,6-3,220,Butler,Brice,9.0,DAL,NFC,East
WR,Falcons,5-11,217,Daniels,B.J.,2.0,ATL,NFC,South
WR,Cowboys,6-2,210,Williams,Terrance,9.0,DAL,NFC,East
WR,Giants,6-2,210,Norwood,Kevin,21.0,NYG,NFC,East
WR,Colts,6-2,215,Aiken,Kamar,14.0,IND,AFC,South
WR,Cardinals,5-11,186,Golden,Brittan,1.0,ARI,NFC,West
WR,Falcons,6-3,220,Jones,Julio,2.0,ATL,NFC,South
WR,Cowboys,5-8,180,Beasley,Cole,9.0,DAL,NFC,East
WR,Panthers,6-2,215,Johnson,Charles,5.0,CAR,NFC,South
WR,Bears,6-0,205,Thompson,Deonte,6.0,CHI,NFC,North
WR,Bears,6-0,211,Bellamy,Josh,6.0,CHI,NFC,North
WR,Lions,5-10,197,Tate,Golden,11.0,DET,NFC,North
WR,Patriots,6-1,210,Hogan,Chris,19.0,NE,AFC,East
WR,Chargers,6-3,205,Inman,Dontrelle,26.0,LAC,AFC,West
WR,Falcons,6-4,220,Dable,Anthony,2.0,ATL,NFC,South
WR,Jaguars,6-2,228,Benn,Arrelious,15.0,JAX,AFC,South
WR,49ers,5-9,188,Kerley,Jeremy,27.0,SF,NFC,West
WR,Bengals,6-4,210,Green,A.J.,7.0,CIN,AFC,North
WR,Browns,6-3,223,Britt,Kenny,8.0,CLE,AFC,North
WR,49ers,5-10,187,Robinson,Aldrick,27.0,SF,NFC,West
WR,Bills,6-4,210,Holmes,Andre,4.0,BUF,AFC,East
WR,Eagles,6-0,205,Smith,Torrey,24.0,PHI,NFC,East
WR,Commanders,6-3,218,Quick,Brian,,,,
WR,Steelers,5-10,181,Brown,Antonio,25.0,PIT,AFC,North
WR,Cowboys,6-2,220,Bryant,Dez,9.0,DAL,NFC,East
WR,Seahawks,5-10,192,Baldwin,Doug,28.0,SEA,NFC,West
WR,Bills,6-1,195,Tate,Brandon,4.0,BUF,AFC,East
WR,Cardinals,6-0,215,Ross,Jeremy,1.0,ARI,NFC,West
WR,Raiders,6-1,214,Crabtree,Michael,23.0,LV,AFC,West
WR,Giants,5-10,202,Harris,Dwayne,21.0,NYG,NFC,East
WR,Falcons,5-11,192,Roberts,Andre,2.0,ATL,NFC,South
WR,Bills,6-3,200,Streater,Rod,4.0,BUF,AFC,East
WR,Broncos,6-3,229,Thomas,Demaryius,10.0,DEN,AFC,West
WR,Broncos,5-11,180,Sanders,Emmanuel,10.0,DEN,AFC,West
WR,Bengals,6-3,210,LaFell,Brandon,7.0,CIN,AFC,North
WR,Buccaneers,5-10,175,Jackson,DeSean,30.0,TB,NFC,South
WR,49ers,6-0,211,Garçon,Pierre,27.0,SF,NFC,West
WR,Ravens,6-0,205,Wallace,Mike,3.0,BAL,AFC,North
WR,Bears,6-0,204,Cruz,Victor,6.0,CHI,NFC,North
WR,Jets,6-3,214,Decker,Eric,22.0,NYJ,AFC,East
WR,Steelers,6-2,210,Heyward-Bey,Darrius,25.0,PIT,AFC,North
WR,Patriots,5-10,200,Edelman,Julian,19.0,NE,AFC,East
WR,Titans,5-9,195,Weems,Eric,31.0,TEN,AFC,South
WR,Patriots,5-7,180,Hawkins,Andrew,19.0,NE,AFC,East
WR,Patriots,6-0,205,Slater,Matthew,19.0,NE,AFC,East
WR,Patriots,5-11,190,Amendola,Danny,19.0,NE,AFC,East
WR,Saints,5-11,180,Ginn,Ted,20.0,NO,NFC,South
WR,Titans,6-0,183,Douglas,Harry,31.0,TEN,AFC,South
WR,Packers,6-3,217,Nelson,Jordy,12.0,GB,NFC,North
WR,Cardinals,6-3,218,Fitzgerald,Larry,1.0,ARI,NFC,West
WR,Giants,6-4,230,Marshall,Brandon,21.0,NYG,NFC,East
