First Name,Last Name,Position,Height,Weight,Arms,Hands,Team,Conference,Division
Shedrick,Jackson,WR,6-1,195.0,,,Las Vegas Raiders,AFC,West
Simi,Fehoko,WR,6-4,218.0,31 3/4,10 1/4,Los Angeles Chargers,AFC,West
Skyy,Moore,WR,5-10,195.0,31,10 1/4,Kansas City Chiefs,AFC,West
Stanley,Morgan,WR,6-0,205.0,32 1/2,10,Tennessee Titans,AFC,South
Stefon,Diggs,WR,6-0,191.0,31 1/4,10,Houston Texans,AFC,South
Sterling,Shepard,WR,5-10,196.0,30 1/2,9 3/4,Tampa Bay Buccaneers,NFC,South
Steven,Sims,WR,5-10,176.0,,,Baltimore Ravens,AFC,North
Steven,Sims,WR,5-10,176.0,,,Houston Texans,AFC,South
Tahj,Washington,WR,5-10,175.0,29 1/4,8 1/2,Miami Dolphins,AFC,East
Tank,Dell,WR,5-10,165.0,30 1/2,8 3/4,Houston Texans,AFC,South
Tanner,Knue,WR,5-11,178.0,,,Tampa Bay Buccaneers,NFC,South
Tarik,Black,WR,6-3,217.0,,,Miami Dolphins,AFC,East
Tay,Martin,WR,6-3,186.0,,,Tennessee Titans,AFC,South
Tee,Higgins,WR,6-4,219.0,34 1/4,9 1/4,Cincinnati Bengals,AFC,North
Tejhaun,Palmer,WR,6-2,210.0,,,Arizona Cardinals,NFC,West
Terique,Owens,WR,6-3,200.0,,,San Francisco 49ers,NFC,NFC
Terry,McLaurin,WR,6-0,210.0,31 1/2,9 1/4,Washington Commanders,NFC,East
Thayer,Thomas,WR,6-0,195.0,,,Minnesota Vikings,NFC,North
Tim,Patrick,WR,6-4,212.0,,,Detroit Lions,NFC,North
Tom,Kennedy,WR,5-10,195.0,,,Detroit Lions,NFC,North
Tre,Tucker,WR,5-9,185.0,29,8 3/4,Las Vegas Raiders,AFC,West
Trent,Sherfield,WR,6-1,206.0,,,Minnesota Vikings,NFC,North
Trent,Taylor,WR,5-8,180.0,28 3/4,8 1/4,San Francisco 49ers,NFC,NFC
Trenton,Irwin,WR,6-2,204.0,,,Carolina Panthers,NFC,South
Trenton,Irwin,WR,6-2,204.0,,,Cincinnati Bengals,AFC,North
Trey,Palmer,WR,6-1,190.0,32,9 3/4,Tampa Bay Buccaneers,NFC,South
Treylon,Burks,WR,6-2,225.0,33 1/2,10,Tennessee Titans,AFC,South
Trishton,Jackson,WR,6-1,191.0,32 1/2,9 3/4,Minnesota Vikings,NFC,North
Troy,Franklin,WR,6-3,180.0,32,8 3/4,Denver Broncos,AFC,West
Tutu,Atwell,WR,5-9,165.0,29 1/4,9,Los Angeles Rams,NFC,West
Tylan,Wallace,WR,5-11,202.0,30 1/2,9 1/2,Baltimore Ravens,AFC,North
Tyler,Johnson,WR,6-1,208.0,31,9,Los Angeles Rams,NFC,West
Tyler,Lockett,WR,5-10,182.0,30,8 1/2,Seattle Seahawks,NFC,West
Tyler,Boyd,WR,6-2,203.0,32,9 3/4,Tennessee Titans,AFC,South
Tyquan,Thornton,WR,6-2,185.0,33 1/4,8 1/4,Kansas City Chiefs,AFC,West
Tyquan,Thornton,WR,6-2,185.0,33 1/4,8 1/4,New England Patriots,AFC,East
Tyreek,Hill,WR,5-10,191.0,,,Miami Dolphins,AFC,East
Tyreik,McAllister,WR,5-10,185.0,,,Las Vegas Raiders,AFC,West
Tyrell,Shavers,WR,6-4,211.0,,,Buffalo Bills,AFC,East
Van,Jefferson,WR,6-1,200.0,32 3/4,9 1/4,Pittsburgh Steelers,AFC,North
Xavier,Weaver,WR,6-1,180.0,31 1/4,9,Arizona Cardinals,NFC,West
Xavier,Legette,WR,6-3,227.0,32,9,Carolina Panthers,NFC,South
Xavier,Hutchinson,WR,6-3,210.0,31 1/2,9 1/2,Houston Texans,AFC,South
Xavier,Johnson,WR,6-1,210.0,,,Houston Texans,AFC,South
Xavier,Worthy,WR,5-11,165.0,31 1/4,8 3/4,Kansas City Chiefs,AFC,West
Xavier,Smith,WR,5-9,174.0,,,Los Angeles Rams,NFC,West
Xavier,Gipson,WR,5-9,189.0,,,New York Jets,AFC,East
Zach,Pascal,WR,6-2,215.0,32,10,Arizona Cardinals,NFC,West
Zavier,Scott,WR,6-1,219.0,,,Minnesota Vikings,NFC,North
